Purpose,Type,Size,Size_unit,Listing_type,Bedrooms,Bathrooms,Area_name,Area_marla_size,city_name,Sub_type,Price,Price_cond
sale,residential,Seven,marla,basic,Six,Six,G-11/1,Two Hundred Fifty,Islamabad,house,60000000,High
sale,residential,Ten,marla,basic,Five,Six,Bahria Town Phase 3,Two Hundred TwentyFive,Islamabad,house,39500000,High
sale,residential,Five,marla,basic,Three,Four,"DHA Phase 5, Sector D",Two Hundred TwentyFive,Islamabad,house,27000000,Low
sale,residential,Ten,marla,basic,Four,Three,I-10/2,Two Hundred SeventyTwo,Islamabad,house,32500000,High
sale,residential,Ten,marla,basic,Five,Five,Bahria Town Phase 4,Two Hundred TwentyFive,Islamabad,house,52000000,High
sale,residential,One,kanal,basic,Five,Five,Bahria Town Phase 3,Two Hundred TwentyFive,Islamabad,house,80000000,High
sale,residential,One,kanal,basic,Five,Five,Bahria Town Phase 3,Two Hundred TwentyFive,Islamabad,house,120000000,High
sale,residential,One,kanal,basic,Five,Five,Bahria Town Phase 3,Two Hundred TwentyFive,Islamabad,house,92500000,High
sale,residential,Six,marla,basic,Four,Four,Soan Garden,Two Hundred SeventyTwo,Islamabad,house,22000000,Low
sale,residential,One,kanal,basic,Six,Six,Soan Garden,Two Hundred SeventyTwo,Islamabad,house,60000000,High
sale,residential,Six,marla,basic,Four,Four,Soan Garden,Two Hundred SeventyTwo,Islamabad,house,22000000,Low
sale,residential,Fifteen,marla,basic,Seven,Eight,Soan Garden,Two Hundred SeventyTwo,Islamabad,house,46000000,High
sale,residential,Six,marla,basic,Four,Four,Soan Garden,Two Hundred SeventyTwo,Islamabad,house,22000000,Low
sale,residential,Four,marla,basic,Four,Three,F-10/3,Two Hundred SeventyTwo,Islamabad,house,33000000,High
sale,residential,Seven,marla,basic,Six,Six,G-11/1,Two Hundred Fifty,Islamabad,house,60000000,High
sale,residential,Ten,marla,basic,Five,Six,Bahria Town Phase 3,Two Hundred TwentyFive,Islamabad,house,39500000,High
sale,residential,Eight,marla,basic,Six,Six,F-17,Two Hundred Fifty,Islamabad,house,23500000,Low
sale,residential,Five,marla,basic,Three,Four,"DHA Phase 5, Sector D",Two Hundred TwentyFive,Islamabad,house,27000000,Low
sale,residential,Ten,marla,basic,Four,Three,I-10/2,Two Hundred SeventyTwo,Islamabad,house,32500000,High
sale,residential,Six,marla,basic,Four,Four,Soan Garden,Two Hundred SeventyTwo,Islamabad,house,22500000,Low
sale,residential,One,kanal,basic,Six,Six,Soan Garden,Two Hundred SeventyTwo,Islamabad,house,60000000,High
sale,residential,Six,marla,basic,Four,Four,Soan Garden,Two Hundred SeventyTwo,Islamabad,house,22500000,Low
sale,residential,Ten,marla,basic,Five,Five,Bahria Town Phase 3,Two Hundred TwentyFive,Islamabad,house,47000000,High
sale,residential,Ten,marla,basic,Five,Five,Bahria Town Phase 3,Two Hundred TwentyFive,Islamabad,house,53500000,High
sale,residential,Ten,marla,basic,Five,Six,G-10/1,Two Hundred SeventyTwo,Islamabad,house,81000000,High
sale,residential,Seven,marla,basic,Four,Five,G-10/1,Two Hundred SeventyTwo,Islamabad,house,58000000,High
sale,residential,Seven,marla,basic,Four,Five,G-10/1,Two Hundred SeventyTwo,Islamabad,house,52000000,High
sale,residential,Eight,marla,basic,Four,Five,G-10/3,Two Hundred Fifty,Islamabad,house,60000000,High
sale,residential,Seven,marla,basic,Four,Five,G-10/3,Two Hundred Fifty,Islamabad,house,55000000,High
sale,residential,Four,marla,basic,Four,Three,F-10/3,Two Hundred SeventyTwo,Islamabad,house,33000000,High
sale,residential,Seven,marla,basic,Six,Six,G-11/1,Two Hundred Fifty,Islamabad,house,60000000,High
sale,residential,Ten,marla,basic,Five,Six,Bahria Town Phase 3,Two Hundred TwentyFive,Islamabad,house,39500000,High
sale,residential,Five,marla,basic,Three,Four,"DHA Phase 5, Sector D",Two Hundred TwentyFive,Islamabad,house,27000000,Low
sale,residential,Ten,marla,basic,Four,Three,I-10/2,Two Hundred SeventyTwo,Islamabad,house,32500000,High
sale,residential,Seven,marla,basic,Four,Five,G-10/1,Two Hundred SeventyTwo,Islamabad,house,53000000,High
sale,residential,Five,marla,basic,Four,Four,G-11/2,Two Hundred Fifty,Islamabad,house,39500000,High
sale,residential,Sixteen,marla,basic,Six,Eight,Soan Garden,Two Hundred SeventyTwo,Islamabad,house,35000000,High
sale,residential,Four,marla,basic,Four,Three,F-10/3,Two Hundred SeventyTwo,Islamabad,house,33000000,High
sale,residential,Seven,marla,basic,Six,Six,G-11/1,Two Hundred Fifty,Islamabad,house,60000000,High
sale,residential,Ten,marla,basic,Five,Six,Bahria Town Phase 3,Two Hundred TwentyFive,Islamabad,house,39500000,High
sale,residential,Five,marla,basic,Three,Four,"DHA Phase 5, Sector D",Two Hundred TwentyFive,Islamabad,house,27000000,Low
sale,residential,Ten,marla,basic,Four,Three,I-10/2,Two Hundred SeventyTwo,Islamabad,house,32500000,High
sale,residential,Seven,marla,basic,Four,Four,Soan Garden,Two Hundred SeventyTwo,Islamabad,house,22000000,Low
sale,residential,Seven,marla,basic,Four,Four,Soan Garden,Two Hundred SeventyTwo,Islamabad,house,21500000,Low
sale,residential,Seven,marla,basic,Four,Four,Jinnah Garden,Two Hundred TwentyFive,Islamabad,house,23000000,Low
sale,residential,Seven,marla,basic,Four,Five,Jinnah Garden,Two Hundred TwentyFive,Islamabad,house,23000000,Low
sale,residential,Ten,marla,basic,Six,Six,National Police Foundation,Two Hundred SeventyTwo,Islamabad,house,26000000,Low
sale,residential,Seven,marla,basic,Four,Four,Soan Garden,Two Hundred SeventyTwo,Islamabad,house,22000000,Low
sale,residential,Seven,marla,basic,Four,Five,Jinnah Garden,Two Hundred TwentyFive,Islamabad,house,23000000,Low
sale,residential,Six,marla,basic,Four,Four,"Soan Garden, Block C",Two Hundred SeventyTwo,Islamabad,house,26000000,Low
sale,residential,Seven,marla,basic,Four,Four,Jinnah Garden Phase 1,Two Hundred SeventyTwo,Islamabad,house,24500000,Low
sale,residential,Twelve,marla,basic,Six,Six,PWD,Two Hundred TwentyFive,Islamabad,house,52000000,High
sale,residential,Four,marla,basic,Four,Three,F-10/3,Two Hundred SeventyTwo,Islamabad,house,33000000,High
sale,residential,Seven,marla,basic,Six,Six,G-11/1,Two Hundred Fifty,Islamabad,house,60000000,High
sale,residential,Ten,marla,basic,Five,Six,Bahria Town Phase 3,Two Hundred TwentyFive,Islamabad,house,39500000,High
sale,residential,Five,marla,basic,Three,Four,"DHA Phase 5, Sector D",Two Hundred TwentyFive,Islamabad,house,27000000,Low
sale,residential,Ten,marla,basic,Four,Three,I-10/2,Two Hundred SeventyTwo,Islamabad,house,32500000,High
sale,residential,Twelve,marla,basic,Six,Six,PWD,Two Hundred TwentyFive,Islamabad,house,52000000,High
sale,residential,Six,marla,basic,Four,Four,Soan Garden,Two Hundred SeventyTwo,Islamabad,house,20000000,Low
sale,residential,Ten,marla,basic,Six,Six,Soan Garden,Two Hundred SeventyTwo,Islamabad,house,31000000,High
sale,residential,Seven,marla,basic,Four,Four,Jinnah Garden Phase 1,Two Hundred SeventyTwo,Islamabad,house,22000000,Low
sale,residential,Seven,marla,basic,Four,Four,Jinnah Garden Phase 1,Two Hundred SeventyTwo,Islamabad,house,21500000,Low
sale,residential,Seven,marla,basic,Four,Four,"Soan Garden, Block H",Two Hundred SeventyTwo,Islamabad,house,20000000,Low
sale,residential,Seven,marla,basic,Four,Four,Jinnah Garden Phase 1,Two Hundred SeventyTwo,Islamabad,house,26000000,Low
sale,residential,Seven,marla,basic,Four,Four,Jinnah Garden Phase 1,Two Hundred SeventyTwo,Islamabad,house,23000000,Low
sale,residential,Seven,marla,basic,Four,Four,Jinnah Garden Phase 1,Two Hundred SeventyTwo,Islamabad,house,23000000,Low
sale,residential,Seven,marla,basic,Four,Five,Jinnah Garden Phase 1,Two Hundred SeventyTwo,Islamabad,house,25000000,Low
sale,residential,Four,marla,basic,Four,Three,F-10/3,Two Hundred SeventyTwo,Islamabad,house,33000000,High
sale,residential,Seven,marla,basic,Six,Six,G-11/1,Two Hundred Fifty,Islamabad,house,60000000,High
sale,residential,Ten,marla,basic,Five,Six,Bahria Town Phase 3,Two Hundred TwentyFive,Islamabad,house,39500000,High
sale,residential,Five,marla,basic,Three,Four,"DHA Phase 5, Sector D",Two Hundred TwentyFive,Islamabad,house,27000000,Low
sale,residential,Ten,marla,basic,Four,Three,I-10/2,Two Hundred SeventyTwo,Islamabad,house,32500000,High
sale,residential,Seven,marla,basic,Four,Five,Jinnah Garden,Two Hundred TwentyFive,Islamabad,house,22000000,Low
sale,residential,Seven,marla,basic,Four,Four,Soan Garden,Two Hundred SeventyTwo,Islamabad,house,22000000,Low
sale,residential,Ten,marla,basic,Six,Six,Soan Garden,Two Hundred SeventyTwo,Islamabad,house,31000000,High
sale,residential,Eight,marla,basic,Four,Four,Soan Garden,Two Hundred SeventyTwo,Islamabad,house,25000000,Low
sale,residential,One,kanal,basic,Six,Six,"Soan Garden, Block F",Two Hundred SeventyTwo,Islamabad,house,45000000,High
sale,residential,Six,marla,basic,Four,Four,"Soan Garden, Block C",Two Hundred SeventyTwo,Islamabad,house,23000000,Low
sale,residential,Seven,marla,basic,Four,Four,Soan Garden,Two Hundred SeventyTwo,Islamabad,house,20500000,Low
sale,residential,Seven,marla,basic,Four,Four,Soan Garden,Two Hundred SeventyTwo,Islamabad,house,22000000,Low
sale,residential,Seven,marla,basic,Five,Five,Soan Garden,Two Hundred SeventyTwo,Islamabad,house,22000000,Low
sale,residential,One,kanal,basic,Six,Six,National Police Foundation,Two Hundred SeventyTwo,Islamabad,house,70000000,High
sale,residential,Four,marla,basic,Four,Three,F-10/3,Two Hundred SeventyTwo,Islamabad,house,33000000,High
sale,residential,Seven,marla,basic,Six,Six,G-11/1,Two Hundred Fifty,Islamabad,house,60000000,High
sale,residential,Ten,marla,basic,Five,Six,Bahria Town Phase 3,Two Hundred TwentyFive,Islamabad,house,39500000,High
sale,residential,Five,marla,basic,Three,Four,"DHA Phase 5, Sector D",Two Hundred TwentyFive,Islamabad,house,27000000,Low
sale,residential,Ten,marla,basic,Four,Three,I-10/2,Two Hundred SeventyTwo,Islamabad,house,32500000,High
sale,residential,Seven,marla,basic,Four,Four,Jinnah Garden,Two Hundred TwentyFive,Islamabad,house,21000000,Low
sale,residential,Seven,marla,basic,Four,Four,CBR Town,Two Hundred SeventyTwo,Islamabad,house,24000000,Low
sale,residential,Seven,marla,basic,Four,Four,PWD,Two Hundred TwentyFive,Islamabad,house,24000000,Low
sale,residential,Seven,marla,basic,Four,Four,Jinnah Garden,Two Hundred TwentyFive,Islamabad,house,21500000,Low
sale,residential,Seven,marla,basic,Four,Four,CBR Town,Two Hundred SeventyTwo,Islamabad,house,25000000,Low
sale,residential,Four,marla,basic,Three,Four,G-13/4,Two Hundred SeventyTwo,Islamabad,house,32000000,High
sale,residential,Twelve,marla,basic,Six,Six,Soan Garden,Two Hundred SeventyTwo,Islamabad,house,42500000,High
sale,residential,Six,marla,basic,Four,Four,Soan Garden,Two Hundred SeventyTwo,Islamabad,house,21500000,Low
sale,residential,Six,marla,basic,Four,Four,Soan Garden,Two Hundred SeventyTwo,Islamabad,house,22000000,Low
sale,residential,Ten,marla,basic,Six,Six,Soan Garden,Two Hundred SeventyTwo,Islamabad,house,34000000,High
sale,residential,Four,marla,basic,Four,Three,F-10/3,Two Hundred SeventyTwo,Islamabad,house,33000000,High
sale,residential,Seven,marla,basic,Six,Six,G-11/1,Two Hundred Fifty,Islamabad,house,60000000,High
sale,residential,Ten,marla,basic,Five,Six,Bahria Town Phase 3,Two Hundred TwentyFive,Islamabad,house,39500000,High
sale,residential,Five,marla,basic,Three,Four,"DHA Phase 5, Sector D",Two Hundred TwentyFive,Islamabad,house,27000000,Low
sale,residential,Ten,marla,basic,Four,Three,I-10/2,Two Hundred SeventyTwo,Islamabad,house,32500000,High
sale,residential,Ten,marla,basic,Six,Six,Soan Garden,Two Hundred SeventyTwo,Islamabad,house,34500000,High
sale,residential,Seven,marla,basic,Four,Five,G-13/4,Two Hundred SeventyTwo,Islamabad,house,52500000,High
sale,residential,Four,marla,basic,Three,Four,G-13/4,Two Hundred SeventyTwo,Islamabad,house,28500000,Low
sale,residential,Ten,marla,basic,Five,Six,G-13/4,Two Hundred SeventyTwo,Islamabad,house,63000000,High
sale,residential,Four,marla,basic,Three,Four,G-13/4,Two Hundred SeventyTwo,Islamabad,house,29500000,Low
sale,residential,Four,marla,basic,Three,Four,G-13/4,Two Hundred SeventyTwo,Islamabad,house,31500000,High
sale,residential,Four,marla,basic,Three,Four,G-13/4,Two Hundred SeventyTwo,Islamabad,house,29000000,Low
sale,residential,Four,marla,basic,Four,Three,F-10/3,Two Hundred SeventyTwo,Islamabad,house,33000000,High
sale,residential,Seven,marla,basic,Six,Six,G-11/1,Two Hundred Fifty,Islamabad,house,60000000,High
sale,residential,Ten,marla,basic,Five,Six,Bahria Town Phase 3,Two Hundred TwentyFive,Islamabad,house,39500000,High
sale,residential,Five,marla,basic,Three,Four,"DHA Phase 5, Sector D",Two Hundred TwentyFive,Islamabad,house,27000000,Low
sale,residential,Ten,marla,basic,Four,Three,I-10/2,Two Hundred SeventyTwo,Islamabad,house,32500000,High
sale,residential,Four,marla,basic,Three,Four,G-13/1,Two Hundred SeventyTwo,Islamabad,house,29000000,Low
sale,residential,Seven,marla,basic,Four,Five,G-13/2,Two Hundred SeventyTwo,Islamabad,house,54000000,High
sale,residential,Seven,marla,basic,Four,Five,G-13/2,Two Hundred SeventyTwo,Islamabad,house,53500000,High
sale,residential,Seven,marla,basic,Four,Five,G-13/2,Two Hundred SeventyTwo,Islamabad,house,53500000,High
sale,residential,Seven,marla,basic,Four,Five,G-13/2,Two Hundred SeventyTwo,Islamabad,house,53000000,High
sale,residential,Seven,marla,basic,Four,Five,G-13/2,Two Hundred SeventyTwo,Islamabad,house,55000000,High
sale,residential,Seven,marla,basic,Four,Five,G-13/2,Two Hundred SeventyTwo,Islamabad,house,52000000,High
sale,residential,Four,marla,basic,Four,Three,F-10/3,Two Hundred SeventyTwo,Islamabad,house,33000000,High
sale,residential,Seven,marla,basic,Six,Six,G-11/1,Two Hundred Fifty,Islamabad,house,60000000,High
sale,residential,Ten,marla,basic,Five,Six,Bahria Town Phase 3,Two Hundred TwentyFive,Islamabad,house,39500000,High
sale,residential,Five,marla,basic,Three,Four,"DHA Phase 5, Sector D",Two Hundred TwentyFive,Islamabad,house,27000000,Low
sale,residential,Ten,marla,basic,Four,Three,I-10/2,Two Hundred SeventyTwo,Islamabad,house,32500000,High
sale,residential,One,kanal,basic,Five,Five,DHA Phase 2,Two Hundred TwentyFive,Islamabad,house,90000000,High
sale,residential,One,kanal,basic,Five,Five,DHA Phase 2,Two Hundred TwentyFive,Islamabad,house,80000000,High
sale,residential,Twelve,marla,basic,Six,Six,I-8/3,Two Hundred SeventyTwo,Islamabad,house,83000000,High
sale,residential,Six,marla,basic,Four,Four,Soan Garden,Two Hundred SeventyTwo,Islamabad,house,21500000,Low
sale,residential,Six,marla,basic,Four,Four,Soan Garden,Two Hundred SeventyTwo,Islamabad,house,22000000,Low
sale,residential,Four,marla,basic,Four,Three,F-10/3,Two Hundred SeventyTwo,Islamabad,house,33000000,High
sale,residential,Seven,marla,basic,Six,Six,G-11/1,Two Hundred Fifty,Islamabad,house,60000000,High
sale,residential,Ten,marla,basic,Five,Six,Bahria Town Phase 3,Two Hundred TwentyFive,Islamabad,house,39500000,High
sale,residential,Five,marla,basic,Three,Four,"DHA Phase 5, Sector D",Two Hundred TwentyFive,Islamabad,house,27000000,Low
sale,residential,Ten,marla,basic,Four,Three,I-10/2,Two Hundred SeventyTwo,Islamabad,house,32500000,High
sale,residential,Six,marla,basic,Four,Four,Soan Garden,Two Hundred SeventyTwo,Islamabad,house,22500000,Low
sale,residential,Six,marla,basic,Four,Four,Soan Garden,Two Hundred SeventyTwo,Islamabad,house,22500000,Low
sale,residential,One,kanal,basic,Five,Five,DHA Phase 2,Two Hundred TwentyFive,Islamabad,house,90000000,High
sale,residential,Ten,marla,basic,Five,Five,DHA Phase 2,Two Hundred TwentyFive,Islamabad,house,47000000,High
sale,residential,One,kanal,basic,Five,Five,DHA Phase 2,Two Hundred TwentyFive,Islamabad,house,87500000,High
sale,residential,Fifteen,marla,basic,Five,Five,DHA Phase 2,Two Hundred TwentyFive,Islamabad,house,57000000,High
sale,residential,Four,marla,basic,Four,Three,F-10/3,Two Hundred SeventyTwo,Islamabad,house,33000000,High
sale,residential,Seven,marla,basic,Six,Six,G-11/1,Two Hundred Fifty,Islamabad,house,60000000,High
sale,residential,Ten,marla,basic,Five,Six,Bahria Town Phase 3,Two Hundred TwentyFive,Islamabad,house,39500000,High
sale,residential,Five,marla,basic,Three,Four,"DHA Phase 5, Sector D",Two Hundred TwentyFive,Islamabad,house,27000000,Low
sale,residential,Ten,marla,basic,Four,Three,I-10/2,Two Hundred SeventyTwo,Islamabad,house,32500000,High
sale,residential,Fourteen,marla,basic,Five,Five,DHA Phase 2,Two Hundred TwentyFive,Islamabad,house,55000000,High
sale,residential,Five,marla,basic,Five,Five,DHA Phase 2,Two Hundred TwentyFive,Islamabad,house,30000000,High
sale,residential,Ten,marla,basic,Five,Six,G-13/4,Two Hundred SeventyTwo,Islamabad,house,64000000,High
sale,residential,Ten,marla,basic,Five,Six,G-13/4,Two Hundred SeventyTwo,Islamabad,house,63000000,High
sale,residential,Ten,marla,basic,Five,Six,G-13/4,Two Hundred SeventyTwo,Islamabad,house,63500000,High
sale,residential,Fourteen,marla,basic,Six,Seven,G-13/3,Two Hundred SeventyTwo,Islamabad,house,74000000,High
sale,residential,Fourteen,marla,basic,Six,Seven,G-13/3,Two Hundred SeventyTwo,Islamabad,house,75000000,High
sale,residential,Fourteen,marla,basic,Six,Seven,G-13/3,Two Hundred SeventyTwo,Islamabad,house,74500000,High
sale,residential,Fourteen,marla,basic,Six,Seven,G-13/3,Two Hundred SeventyTwo,Islamabad,house,75000000,High
sale,residential,Twelve,marla,basic,Six,Six,"Media Town, Block D",Two Hundred SeventyTwo,Islamabad,house,37000000,High
sale,residential,Four,marla,basic,Four,Three,F-10/3,Two Hundred SeventyTwo,Islamabad,house,33000000,High
sale,residential,Seven,marla,basic,Six,Six,G-11/1,Two Hundred Fifty,Islamabad,house,60000000,High
sale,residential,Ten,marla,basic,Five,Six,Bahria Town Phase 3,Two Hundred TwentyFive,Islamabad,house,39500000,High
sale,residential,Five,marla,basic,Three,Four,"DHA Phase 5, Sector D",Two Hundred TwentyFive,Islamabad,house,27000000,Low
sale,residential,Ten,marla,basic,Four,Three,I-10/2,Two Hundred SeventyTwo,Islamabad,house,32500000,High
sale,residential,Twelve,marla,basic,Six,Six,Media Town,Two Hundred SeventyTwo,Islamabad,house,47000000,High
sale,residential,Twelve,marla,basic,Four,Four,Media Town,Two Hundred SeventyTwo,Islamabad,house,52500000,High
sale,residential,Twelve,marla,basic,Six,Six,Media Town,Two Hundred SeventyTwo,Islamabad,house,40000000,High
sale,residential,One,kanal,basic,Six,Six,National Police Foundation,Two Hundred SeventyTwo,Islamabad,house,47000000,High
sale,residential,Twelve,marla,basic,Six,Six,PWD,Two Hundred TwentyFive,Islamabad,house,52500000,High
sale,residential,Twelve,marla,basic,Six,Six,"PWD, Block A",Two Hundred SeventyTwo,Islamabad,house,42000000,High
sale,residential,Twelve,marla,basic,Five,Five,DHA Phase 2,Two Hundred TwentyFive,Islamabad,house,55000000,High
sale,residential,One,kanal,basic,Six,Six,DHA Phase 2,Two Hundred TwentyFive,Islamabad,house,71500000,High
sale,residential,Four,marla,basic,Four,Three,F-10/3,Two Hundred SeventyTwo,Islamabad,house,33000000,High
sale,residential,Seven,marla,basic,Six,Six,G-11/1,Two Hundred Fifty,Islamabad,house,60000000,High
sale,residential,Ten,marla,basic,Five,Six,Bahria Town Phase 3,Two Hundred TwentyFive,Islamabad,house,39500000,High
sale,residential,Five,marla,basic,Three,Four,"DHA Phase 5, Sector D",Two Hundred TwentyFive,Islamabad,house,27000000,Low
sale,residential,Ten,marla,basic,Four,Three,I-10/2,Two Hundred SeventyTwo,Islamabad,house,32500000,High
sale,residential,Twenty-Four,marla,basic,Seven,Eight,F-15/1,Two Hundred SeventyTwo,Islamabad,house,81000000,High
sale,residential,Ten,marla,basic,Five,Six,F-15,Two Hundred Fifty,Islamabad,house,45000000,High
sale,residential,Seven,marla,basic,Four,Five,G-15/1,Two Hundred SeventyTwo,Islamabad,house,39000000,High
sale,residential,Two Hundred Eighty-Five,sqyd,basic,Five,Six,G-15/4,Two Hundred SeventyTwo,Islamabad,house,46000000,High
sale,residential,Fourteen,marla,basic,Six,Seven,G-14/4,Two Hundred SeventyTwo,Islamabad,house,75000000,High
sale,residential,One,kanal,basic,Eight,Eight,G-14/4,Two Hundred SeventyTwo,Islamabad,house,100000000,High
sale,residential,Four,marla,basic,Three,Four,G-14/4,Two Hundred SeventyTwo,Islamabad,house,29000000,Low
sale,residential,Four,marla,basic,Three,Four,G-14/4,Two Hundred SeventyTwo,Islamabad,house,29500000,Low
sale,residential,Four,marla,basic,Three,Four,G-14/4,Two Hundred SeventyTwo,Islamabad,house,28500000,Low
sale,residential,Four,marla,basic,Four,Three,F-10/3,Two Hundred SeventyTwo,Islamabad,house,33000000,High
sale,residential,Seven,marla,basic,Six,Six,G-11/1,Two Hundred Fifty,Islamabad,house,60000000,High
sale,residential,Ten,marla,basic,Five,Six,Bahria Town Phase 3,Two Hundred TwentyFive,Islamabad,house,39500000,High
sale,residential,Five,marla,basic,Three,Four,"DHA Phase 5, Sector D",Two Hundred TwentyFive,Islamabad,house,27000000,Low
sale,residential,Ten,marla,basic,Four,Three,I-10/2,Two Hundred SeventyTwo,Islamabad,house,32500000,High
sale,residential,Four,marla,basic,Three,Four,G-14/4,Two Hundred SeventyTwo,Islamabad,house,29000000,Low
sale,residential,Two,kanal,basic,Four,Four,F-8/3,Two Hundred SeventyTwo,Islamabad,house,410000000,High
sale,residential,Two,kanal,basic,Five,Five,F-7/2,Two Hundred SeventyTwo,Islamabad,house,450000000,High
sale,residential,One,kanal,basic,Four,Four,F-8/1,Two Hundred SeventyTwo,Islamabad,house,220000000,High
sale,residential,One,kanal,basic,Six,Six,F-8/1,Two Hundred SeventyTwo,Islamabad,house,210000000,High
sale,residential,One,kanal,basic,Five,Five,F-7/2,Two Hundred SeventyTwo,Islamabad,house,210000000,High
sale,residential,One,kanal,basic,Six,Six,DHA Phase 2,Two Hundred TwentyFive,Islamabad,house,95000000,High
sale,residential,One,kanal,basic,Six,Six,DHA Phase 2,Two Hundred TwentyFive,Islamabad,house,85000000,High
